route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6612,1,13861602,2 Macdonald/To Burrard Station,,0,2089932,289543,0,1
6612,1,13861603,2 Macdonald/To Burrard Station,,0,2089934,289543,0,1
6612,1,13861604,2 Macdonald/To Burrard Station,,0,2089931,289543,0,1
6612,1,13861605,2 Macdonald/To Burrard Station,,0,2089940,289543,0,1
6612,1,13861606,2 Macdonald/To Burrard Station,,0,2089932,289543,0,1
6612,1,13861607,2 Macdonald/To Burrard Station,,0,2089941,289543,0,1
6612,1,13861608,2 Macdonald/To Burrard Station,,0,2089934,289543,0,1
6612,1,13861609,2 Macdonald/To Burrard Station,,0,2089938,289543,0,1
6612,1,13861610,2 Macdonald/To Burrard Station,,0,2089931,289543,0,1
6612,1,13861611,2 Macdonald/To Burrard Station,,0,2089939,289543,0,1
6612,1,13861612,2 Macdonald/To Burrard Station,,0,2089932,289544,0,1
6612,1,13861613,2 Macdonald/To Burrard Station,,0,2089940,289543,0,1
6612,1,13861614,2 Macdonald/To Burrard Station,,0,2089935,289543,0,1
6612,1,13861615,2 Macdonald/To Burrard Station,,0,2089934,289544,0,1
6612,1,13861616,2 Macdonald/To Burrard Station,,0,2089941,289543,0,1
6612,1,13861617,2 Macdonald/To Burrard Station,,0,2089938,289544,0,1
6612,1,13861618,2 Macdonald/To Burrard Station,,0,2089937,289543,0,1
6612,1,13861619,2 Macdonald/To Burrard Station,,0,2089939,289544,0,1
6612,1,13861620,2 Macdonald/To Burrard Station,,0,2089931,289543,0,1
6612,1,13861621,2 Macdonald/To Burrard Station,,0,2089940,289544,0,1
6612,1,13861622,2 Macdonald/To Burrard Station,,0,2089932,289543,0,1
6612,1,13861623,2 Macdonald/To Burrard Station,,0,2089934,289544,0,1
6612,1,13861624,2 Macdonald/To Burrard Station,,0,2089935,289543,0,1
6612,1,13861625,2 Macdonald/To Burrard Station,,0,2089937,289544,0,1
6612,1,13861626,2 Macdonald/To Burrard Station,,0,2089938,289543,0,1
6612,1,13861627,2 Macdonald/To Burrard Station,,0,2089931,289544,0,1
6612,1,13861628,2 Macdonald/To Burrard Station,,0,2089939,289543,0,1
6612,1,13861629,2 Macdonald/To Burrard Station,,0,2089934,289544,0,1
6612,1,13861630,2 Macdonald/To Burrard Station,,0,2089932,289543,0,1
6612,1,13861631,2 Macdonald/To Burrard Station,,0,2089937,289544,0,1
6612,1,13861632,2 Macdonald/To Burrard Station,,0,2089935,289543,0,1
6612,1,13861633,2 Macdonald/To Burrard Station,,0,2089931,289544,0,1
6612,1,13861634,2 Macdonald/To Burrard Station,,0,2089938,289543,0,1
6612,1,13861635,2 Macdonald/To Burrard Station,,0,2089934,289544,0,1
6612,1,13861636,2 Macdonald/To Burrard Station,,0,2089939,289543,0,1
6612,1,13861637,2 Macdonald/To Burrard Station,,0,2089937,289544,0,1
6612,1,13861638,2 Macdonald/To Burrard Station,,0,2089932,289543,0,1
6612,1,13861639,2 Macdonald/To Burrard Station,,0,2089931,289544,0,1
6612,1,13861640,2 Macdonald/To Burrard Station,,0,2089935,289543,0,1
6612,1,13861641,2 Macdonald/To Burrard Station,,0,2089934,289544,0,1
6612,1,13861642,2 Macdonald/To Burrard Station,,0,2089938,289543,0,1
6612,1,13861643,2 Macdonald/To Burrard Station,,0,2089937,289544,0,1
6612,1,13861644,2 Macdonald/To Burrard Station,,0,2089939,289543,0,1
6612,1,13861645,2 Macdonald/To Burrard Station,,0,2089931,289544,0,1
6612,1,13861646,2 Macdonald/To Burrard Station,,0,2089932,289543,0,1
6612,1,13861647,2 Macdonald/To Burrard Station,,0,2089934,289544,0,1
6612,1,13861648,2 Macdonald/To Burrard Station,,0,2089935,289543,0,1
6612,1,13861649,2 Macdonald/To Burrard Station,,0,2089937,289544,0,1
6612,1,13861650,2 Macdonald/To Burrard Station,,0,2089938,289543,0,1
6612,1,13861651,2 Macdonald/To Burrard Station,,0,2089931,289544,0,1
6612,1,13861652,2 Macdonald/To Burrard Station,,0,2089936,289543,0,1
6612,1,13861653,2 Macdonald/To Burrard Station,,0,2089939,289543,0,1
6612,1,13861654,2 Macdonald/To Burrard Station,,0,2089934,289544,0,1
6612,1,13861655,2 Macdonald/To Burrard Station,,0,2089932,289543,0,1
6612,1,13861656,2 Macdonald/To Burrard Station,,0,2089937,289544,0,1
6612,1,13861657,2 Macdonald/To Burrard Station,,0,2089935,289543,0,1
6612,1,13861658,2 Macdonald/To Burrard Station,,0,2089931,289544,0,1
6612,1,13861659,2 Macdonald/To Burrard Station,,0,2089933,289543,0,1
6612,1,13861660,2 Macdonald/To Burrard Station,,0,2089938,289543,0,1
6612,1,13861661,2 Macdonald/To Burrard Station,,0,2089939,289544,0,1
6612,1,13861662,2 Macdonald/To Burrard Station,,0,2089930,289543,0,1
6612,1,13861663,2 Macdonald/To Burrard Station,,0,2089932,289544,0,1
6612,1,13861664,2 Macdonald/To Burrard Station,,0,2093887,289544,0,1
6612,1,13861665,2 Macdonald/To Burrard Station,,0,2089934,289543,0,1
6612,1,13861666,2 Macdonald/To Burrard Station,,0,2089931,289544,0,1
6612,1,13861667,2 Macdonald/To Burrard Station,,0,2089937,289543,0,1
6612,1,13861668,2 Macdonald/To Burrard Station,,0,2089938,289544,0,1
6612,1,13861669,2 Macdonald/To Burrard Station,,0,2089935,289543,0,1
6612,1,13861670,2 Macdonald/To Burrard Station,,0,2089933,289543,0,1
6612,1,13861671,2 Macdonald/To Burrard Station,,0,2089936,289544,0,1
6612,1,13861672,2 Macdonald/To Burrard Station,,0,2089939,289543,0,1
6612,1,13861673,2 Macdonald/To Burrard Station,,0,2089934,289544,0,1
6612,1,13861674,2 Macdonald/To Burrard Station,,0,2089937,289544,0,1
6612,1,13861675,2 Macdonald/To Burrard Station,,0,2093887,289543,0,1
6612,1,13861676,2 Macdonald/To Burrard Station,,0,2089935,289544,0,1
6612,1,13861677,2 Macdonald/To Burrard Station,,0,2089938,289543,0,1
6612,1,13861678,2 Macdonald/To Burrard Station,,0,2089933,289544,0,1
6612,1,13861679,2 Macdonald/To Burrard Station,,0,2089939,289544,0,1
6612,1,13861680,2 Macdonald/To Burrard Station,,0,2089936,289543,0,1
6612,1,13861681,2 Macdonald/To Burrard Station,,0,2089934,289543,0,1
6612,1,13861682,2 Macdonald/To Burrard Station,,0,2089937,289543,0,1
6612,1,13861683,2 Macdonald/To Burrard Station,,0,2093887,289543,0,1
6612,1,13861684,2 Macdonald/To Burrard Station,,0,2089935,289543,0,1
6612,1,13861685,2 Macdonald/To Burrard Station,,0,2089933,289543,0,1
6612,1,13861686,2 Macdonald/To Burrard Station,,0,2089939,289543,0,1
6612,1,13861687,2 Macdonald/To Burrard Station,,0,2089934,289543,0,1
6612,1,13861688,2 Macdonald/To Burrard Station,,0,2089937,289543,0,1
6612,1,13861689,2 Macdonald/To Burrard Station,,0,2093887,289543,0,1
6612,1,13861690,2 Macdonald/To Burrard Station,,0,2089933,289543,0,1
6612,1,13861691,2 Macdonald/To Burrard Station,,0,2089939,289543,0,1
6612,1,13861692,2 Macdonald/To Burrard Station,,0,2089934,289543,0,1
6612,1,13861693,2 Macdonald/To Burrard Station,,0,2089937,289543,0,1
6612,1,13861694,2 Macdonald/To Burrard Station,,0,2093887,289543,0,1
6612,1,13861695,2 Macdonald/To Burrard Station,,0,2089933,289543,0,1
6612,1,13861696,2 Macdonald/To Burrard Station,,0,2089939,289543,0,1
6612,1,13861697,2 Macdonald/To Burrard Station,,0,2089934,289543,0,1
6612,1,13861698,2 Macdonald/To Burrard Station,,0,2089937,289543,0,1
6612,1,13861699,2 Macdonald/To Burrard Station,,0,2093887,289543,0,1
6612,1,13861700,2 Macdonald/To Burrard Station,,0,2089933,289543,0,1
6612,1,13861701,2 Macdonald/To Burrard Station,,0,2089939,289543,0,1
6612,1,13861702,2 Macdonald/To Burrard Station,,0,2089937,289543,0,1
